"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Edit","Find and Replace","Ctrl+F","In Windows","org.eclipse.ui.edit.findReplace"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Line End","End","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Entity Properties","Previous Entity Properties tab","Shift+Alt+↑","In Windows","org.jkiss.dbeaver.entity.propsTab.prevPage"
"Navigate","Show In...","Shift+Alt+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Navigate","Next Edit Location","Ctrl+Alt+→","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"SQL Editor","Content Format","Shift+Ctrl+F","In Windows","org.jkiss.dbeaver.ui.editors.text.content.format"
"Result Set","Toggle results sort order","Ctrl+2","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleOrder"
"Database Navigator","New Database &Connection","Shift+Ctrl+N","In Windows","org.jkiss.dbeaver.core.new.connection"
"Edit","Context Information","Ctrl+Alt+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Edit","Quick Fix","Ctrl+1","SQL Editor Context","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Edit","Find Previous","Shift+Ctrl+K","In Windows","org.eclipse.ui.edit.findPrevious"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Result Set","Select row(s)","Ctrl+Alt+R","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectRow"
"Result Set","Reset cell changes","Esc","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.reset"
"Utility","Advanced Copy with last settings","Shift+Ctrl+Alt+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special.with.last.settings"
"SQL Editor","Select to the matching bracket","Shift+Ctrl+]","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.selectToMatchingBracket"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Database Navigator","Link with editor","Shift+Ctrl+,","In Windows","org.jkiss.dbeaver.core.navigator.linkeditor"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Result Set","Zoom out data grid","Alt+9","Results viewer context","org.jkiss.dbeaver.core.resultset.zoomOut"
"SQL Editor","Execute queries in separate tabs","Shift+Ctrl+Alt+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptNew"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
"Result Set","Copy from row above","Ctrl+D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.above"
"Window","Next View","Alt+A","In Windows","org.eclipse.ui.window.nextView"
"SQL Editor","Toggle results panel","Ctrl+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.toggle.result.panel"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Database Navigator","Set as default","Shift+Ctrl+A","In Windows","org.jkiss.dbeaver.core.navigator.set.default"
"Result Set","Zoom in data grid","Alt+0","Results viewer context","org.jkiss.dbeaver.core.resultset.zoomIn"
"Project","Build All","Ctrl+B","In Windows","org.eclipse.ui.project.buildAll"
"Text Editing","Move Lines Down","Alt+↓","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Result Set","References","Shift+Ctrl+1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"Result Set","First row","Shift+Ctrl+Alt+←","Results viewer context","org.jkiss.dbeaver.core.resultset.row.first"
"SQL Editor","Select row count","Shift+Ctrl+Alt+C","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.count"
"Connection","Context tools","Alt+`","In Windows","org.jkiss.dbeaver.ui.tools.menu"
"Result Set","Filter menu","F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Connection","New SQL script","Ctrl+F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Text Editing","Move Lines Up","Alt+↑","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows","org.eclipse.ui.views.showView"
"File","New menu","Shift+Alt+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"SQL Editor","Previous query","Alt+↑","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Result Set","Fetch Next Page","Ctrl+Alt+N","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.page"
"Database Navigator","Show/Hide view (Database Navigator)","Alt+E","In Windows","org.jkiss.dbeaver.core.view.toggle"
"Result Set","Filter by value","Ctrl+F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu.distinct"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Navigate","Previous Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Connection","Edit Object","F4","Database navigator context","org.jkiss.dbeaver.core.object.open"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Text Editing","Select Next Word","Shift+Ctrl+→","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Edit","Content Assist","Ctrl+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.proposals"
"Connection","Commit","Ctrl+4","In Windows","org.jkiss.dbeaver.core.commit"
"Result Set","Go To Row","Ctrl+G","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.gotoRow"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows","org.eclipse.ui.window.switchToEditor"
"Result Set","Previous row","Ctrl+Alt+←","Results viewer context","org.jkiss.dbeaver.core.resultset.row.previous"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Navigate","Next Tab","Alt+→","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"SQL Editor","Execute SQL query","Ctrl+Enter","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"Connection","Rollback","Ctrl+8","In Windows","org.jkiss.dbeaver.core.rollback"
"Result Set","Edit cell","Shift+Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit"
"Navigate","Previous Page","Shift+Alt+F7","In Windows","org.eclipse.ui.part.previousPage"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows","org.eclipse.ui.views.showView"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Result Set","Toggle result panels","Ctrl+7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Connection","Select active schema","Ctrl+0","In Windows","org.jkiss.dbeaver.ui.tools.select.schema"
"Connection","Create Object","Alt+Insert","Database navigator context","org.jkiss.dbeaver.core.object.create"
"Result Set","Go To Column","Shift+Ctrl+G","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.gotoColumn"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"SQL Editor","Evaluate SQL expression","Ctrl+Alt+'","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"Quick Search","Quick Search","Shift+Ctrl+Alt+L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"ANSI Support Commands","Copy Text Without ANSI Escapes","Ctrl+Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"Connection","Generate UUID","Shift+Ctrl+Alt+U","In Windows","org.jkiss.dbeaver.core.generate.uuid"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Oracle","Compile","Ctrl+F9","In Windows","org.jkiss.dbeaver.ext.oracle.code.compile"
"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Connection","Open Database Object ...","Shift+Ctrl+D","In Windows","org.jkiss.dbeaver.core.object.goto"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Result Set","Last row","Shift+Ctrl+Alt+→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.last"
"SQL Editor","Go to matching bracket","Shift+Ctrl+[","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.gotoMatchingBracket"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"SQL Editor","Explain Execution Plan","Shift+Ctrl+E","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"Text Editing","Next Word","Ctrl+→","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Result Set","Apply cell changes","Shift+Ctrl+Alt+Enter","Results edit context","org.jkiss.dbeaver.core.resultset.cell.save"
"File","Open File...","Ctrl+O","In Windows","org.eclipse.ui.edit.text.openLocalFile"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Connection","Open Dashboard","Shift+Ctrl+Alt+B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Text Editing","Move Lines Up","Shift+Ctrl+↑","SQL Editor Context","org.eclipse.ui.edit.text.moveLineUp"
"Text Editing","Duplicate Lines","Ctrl+Alt+↑","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Views","Show View","Shift+Alt+Q Q","In Windows","org.eclipse.ui.views.showView"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Database Navigator","Edit task","Enter","In Windows","org.jkiss.dbeaver.task.edit"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows","org.eclipse.ui.navigate.openResource"
"Text Editing","Previous Word","Ctrl+←","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"SQL Editor","Pin/unpin","Shift+Ctrl+P","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.toggle.pinned.tab"
"File","Print","Ctrl+P","In Windows","org.eclipse.ui.file.print"
"Connection","Open SQL script","F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"SQL Editor","Next query","Alt+↓","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.next"
"Utility","Advanced Paste ...","Shift+Ctrl+V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"Utility","Advanced Copy","Shift+Ctrl+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special"
"Result Set","Navigate link","Alt+Space","Results viewer context","org.jkiss.dbeaver.core.resultset.navigateLink"
"Window","Previous View","Alt+D","In Windows","org.eclipse.ui.window.previousView"
"Result Set","Reject changes","Ctrl+R","Results viewer context","org.jkiss.dbeaver.core.resultset.rejectChanges"
"Database Navigator","Add Bookmark","Shift+Ctrl+Alt+D","In Windows","org.jkiss.dbeaver.core.navigator.bookmark.add"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows","org.eclipse.ui.views.showView"
"Result Set","Toggle result panels","F7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Result Set","Delete current row","Alt+Delete","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Connection","Set active connection","Ctrl+9","In Windows","org.jkiss.dbeaver.ui.tools.select.connection"
"Connection","Last edited SQL script","Ctrl+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.recent"
"SQL Editor","Toggle Line Comment","Ctrl+/","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.single"
"Navigate","Go to Line","Ctrl+L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text","org.eclipse.quickdiff.toggle"
"Edit","Find Next","Ctrl+K","In Windows","org.eclipse.ui.edit.findNext"
"Navigate","Forward History","Alt+→","In Windows","org.eclipse.ui.navigate.forwardHistory"
"SQL Editor","Show server output","Shift+Ctrl+O","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.show.output"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Entity Properties","Next Entity Properties tab","Shift+Alt+↓","In Windows","org.jkiss.dbeaver.entity.propsTab.nextPage"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"SQL Editor","Maximize results panel","Shift+Ctrl+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.maximize.result.panel"
"Connection","Open SQL script","Ctrl+[","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"SQL Editor","Execute SQL script from the position","Alt+P","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptFromPosition"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"SQL Editor","Set connection from navigator","Shift+Ctrl+.","Database navigator context","org.jkiss.dbeaver.ui.editors.sql.sync.connection"
"SQL Editor","Close","Shift+Ctrl+\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.close.tab"
"Connection","New SQL script","Ctrl+]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Edit","Word Completion","Alt+/","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows","org.eclipse.ui.navigate.collapseAll"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows","org.eclipse.ui.views.showView"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Result Set","Switch presentation","Ctrl+`","Results viewer context","org.jkiss.dbeaver.core.resultset.switchPresentation"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Connection","Open SQL console","Ctrl+Alt+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.console"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Text Editing","Scroll Line Up","Ctrl+↑","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"Text Editing","Copy Lines","Ctrl+Alt+↓","Editing Text","org.eclipse.ui.edit.text.copyLineDown"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Navigate","Previous Edit Location","Ctrl+Alt+←","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Result Set","Duplicate row","Ctrl+Alt+Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Delete Line","Ctrl+D","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Text Editing","Join Lines","Shift+Ctrl+J","SQL Editor Context","org.eclipse.ui.edit.text.join.lines"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Result Set","Copy from row below","Ctrl+Alt+D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.below"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"Text Editing","Move Lines Down","Shift+Ctrl+↓","SQL Editor Context","org.eclipse.ui.edit.text.moveLineDown"
"Navigate","Previous Tab","Alt+←","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Result Set","Select column(s)","Ctrl+Alt+C","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectColumn"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"View","Toggle hand tool","Tab","In Windows","org.jkiss.dbeaver.erd.toggleHand"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"SQL Editor","Execute SQL script","Alt+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Text Editing","Select Previous Word","Shift+Ctrl+←","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"SQL Editor","Open Declaration","F4","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.navigate.object"
"SQL Editor","Switch active panel","Alt+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.switch.panel"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
